"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","adjusted_p_values_activated","adjusted_p_values_sex"
"RT-ZI Gnb3 Gaba_2",12.8806440165929,47.9010991605118,12409.2594877544,0.833625824855585,0.943610788614149,0.994945991297342,0.997597253741406
"SCsg Gabrr2 Gaba",4.08275456221709,554.55405309647,12543.7283298002,0.789060087245861,0.466838919830861,0.994945991297342,0.997597253741406
"SI-MA-LPO-LHA Skor1 Glut",6.34397147696753,14.5710384890011,12525.181864081,0.892373888024221,0.982748890163442,0.994945991297342,0.997597253741406
"SI-MPO-LPO-ADP Lhx8 Gaba",-4.97801415088606,24.7001670740686,12724.7043743673,0.869151903678073,0.970545722690989,0.994945991297342,0.997597253741406
"STN-PSTN Pitx2 Glut",-1.9234651204884,85.1629703234037,12813.0276207827,0.932400109732677,0.90587936622034,0.994945991297342,0.997597253741406
"STR-PAL Chst9 Gaba",44.6725997276894,-129.402074485788,12039.3245009272,0.488138808317687,0.853467775997798,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_2",16.1904434836949,-6.47605762344817,12121.9951862085,0.648945208538666,0.992519497479332,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_3",8.18509437275797,56.2619472000225,12323.6153782065,0.840774730721264,0.934646247297587,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_4",-2.03961250889388,18.7889788802372,12748.782119067,0.956610306804677,0.977971137572713,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_5",1.21881305082372,-250.185841846632,12707.8591136572,0.945999143966908,0.730099796142063,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_6",-3.26181078533628,22.1438605746948,12791.7950289532,0.949901522989727,0.973685388010746,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_7",18.5246341507945,-37.7324998290516,11820.8503031781,0.664528464744995,0.955938759739884,0.994945991297342,0.997597253741406
"TH Prkcd Grin2c Glut_8",10.4545910973476,64.3969524653433,12119.9918416068,0.64173977376967,0.923675590467518,0.994945991297342,0.997597253741406
"TH Sema5b-Ntrk Glut",-9.51250633279046,11.9970309082983,13017.2152539793,0.867733678372987,0.985794635752318,0.994945991297342,0.997597253741406
"TRS-BAC Sln Glut",-3.46567666500398,-393.950716942595,12907.5624017539,0.859703824862388,0.593460094116099,0.994945991297342,0.997597253741406
"TU-ARH Otp Six6 Gaba",-10.7727091839107,81.5477111416536,12762.5215354899,0.766265167413516,0.906515079157498,0.994945991297342,0.997597253741406
"VMH Nr5a1 Glut_1",-1.48154312993086,-156.39750820574,12740.8769944588,0.947051937219741,0.822014997505385,0.994945991297342,0.997597253741406
"ZI Mixed Gaba",-1.26400857005559,26.908678215681,12688.1402640641,0.982687852332314,0.968076557464601,0.994945991297342,0.997597253741406
