"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.1-pct.2","dups"
"Tmeff2",2.4584788221133e-26,-0.545945526692795,0.476,0.693,9.20995336340083e-22,"PH-ant-LHA Otp Bsx Glut_subset","Tmeff2",-0.217,3
"Cdk14",6.59403212485313e-26,-0.577015181399447,0.414,0.637,2.47025631461248e-21,"PH-ant-LHA Otp Bsx Glut_subset","Cdk14",-0.223,2
"Tox.1",1.01220204540658e-25,0.636594107867358,0.534,0.338,3.79191130250212e-21,"PH-ant-LHA Otp Bsx Glut_subset","Tox",0.196,6
"St6galnac5",1.25900530726179e-25,-0.733400617120028,0.108,0.298,4.7164856820641e-21,"PH-ant-LHA Otp Bsx Glut_subset","St6galnac5",-0.19,3
"Hcn1",3.8183371688553e-25,-0.723480190961641,0.272,0.479,1.43042547019657e-20,"PH-ant-LHA Otp Bsx Glut_subset","Hcn1",-0.207,2
"Hdac9",9.67761450570955e-24,-0.690755197289146,0.364,0.574,3.62542794612891e-19,"PH-ant-LHA Otp Bsx Glut_subset","Hdac9",-0.21,5
"Sorbs2",1.74148990978967e-23,-0.541052124502765,0.403,0.626,6.52396950005408e-19,"PH-ant-LHA Otp Bsx Glut_subset","Sorbs2",-0.223,1
"Shisa9",2.56201995743863e-23,-0.584411215165877,0.315,0.535,9.59783916455659e-19,"PH-ant-LHA Otp Bsx Glut_subset","Shisa9",-0.22,3
"Atrnl1",8.4517927398838e-23,-0.583390001393732,0.305,0.519,3.16621059621527e-18,"PH-ant-LHA Otp Bsx Glut_subset","Atrnl1",-0.214,3
"Zfp804b",1.14385367623069e-22,-0.70052433719698,0.377,0.583,4.28510464189541e-18,"PH-ant-LHA Otp Bsx Glut_subset","Zfp804b",-0.206,3
"Camk4",2.76433857956406e-22,0.764477525015233,0.463,0.327,1.03557651867629e-17,"PH-ant-LHA Otp Bsx Glut_subset","Camk4",0.136,3
"Apba1",3.1735958284139e-22,-0.55038262426698,0.368,0.583,1.18889246924041e-17,"PH-ant-LHA Otp Bsx Glut_subset","Apba1",-0.215,2
"Cntnap5c",3.70088316586407e-22,0.703939633409398,0.518,0.367,1.386424851596e-17,"PH-ant-LHA Otp Bsx Glut_subset","Cntnap5c",0.151,2
"Gabrg3",1.24751956392568e-21,0.542668392057318,0.873,0.857,4.6734577903784e-17,"PH-ant-LHA Otp Bsx Glut_subset","Gabrg3",0.016,2
"Tshz2",1.26980418907094e-21,-0.678819652774411,0.367,0.548,4.75694045309754e-17,"PH-ant-LHA Otp Bsx Glut_subset","Tshz2",-0.181,4
"Slc24a3",1.43195127709501e-21,0.70057741609496,0.706,0.615,5.36437587425332e-17,"PH-ant-LHA Otp Bsx Glut_subset","Slc24a3",0.091,4
"Thsd7a",1.54032943530476e-21,0.749412611562938,0.527,0.391,5.77038213053868e-17,"PH-ant-LHA Otp Bsx Glut_subset","Thsd7a",0.136,4
"Flrt2",5.20978080740038e-21,0.717269122736975,0.444,0.302,1.95168808606833e-16,"PH-ant-LHA Otp Bsx Glut_subset","Flrt2",0.142,1
"Adgrl2",1.06559064920639e-20,-0.614117434220616,0.209,0.396,3.99191569005696e-16,"PH-ant-LHA Otp Bsx Glut_subset","Adgrl2",-0.187,3
"Klhl1",1.45118459010117e-20,-0.612773311200947,0.272,0.463,5.43642771143701e-16,"PH-ant-LHA Otp Bsx Glut_subset","Klhl1",-0.191,3
"Fam135b",8.22674101063083e-20,-0.556010287301165,0.31,0.499,3.08190171740252e-15,"PH-ant-LHA Otp Bsx Glut_subset","Fam135b",-0.189,1
"Plxdc2",1.06828852212747e-18,-0.521153501945354,0.315,0.511,4.00202246159394e-14,"PH-ant-LHA Otp Bsx Glut_subset","Plxdc2",-0.196,2
"Gm40841",1.73204545374433e-18,-0.53246039219218,0.139,0.303,6.48858867881701e-14,"PH-ant-LHA Otp Bsx Glut_subset","Gm40841",-0.164,1
"Utrn",4.36451112919651e-18,-0.597396311948692,0.11,0.261,1.6350331592196e-13,"PH-ant-LHA Otp Bsx Glut_subset","Utrn",-0.151,3
"Plcb4.1",1.093852277524e-17,-0.56465020298105,0.344,0.519,4.09778940206039e-13,"PH-ant-LHA Otp Bsx Glut_subset","Plcb4",-0.175,3
"Slc35f4",2.49628826213102e-17,-0.589160837215422,0.231,0.401,9.35159508759524e-13,"PH-ant-LHA Otp Bsx Glut_subset","Slc35f4",-0.17,2
"Gm13629.1",5.96749785056358e-17,-0.547580256635756,0.114,0.26,2.23554404477813e-12,"PH-ant-LHA Otp Bsx Glut_subset","Gm13629",-0.146,5
"Camk1d",6.86183522257524e-17,-0.504058672024571,0.277,0.452,2.57058071108114e-12,"PH-ant-LHA Otp Bsx Glut_subset","Camk1d",-0.175,4
"Col25a1",6.98111514820585e-16,-0.750871014014721,0.118,0.253,2.61526535682088e-11,"PH-ant-LHA Otp Bsx Glut_subset","Col25a1",-0.135,2
