"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpr158.2",1.44000987500678e-197,0.834123091127505,0.817,0.717,5.3945649937504e-193,"19","Gpr158"
"Tmcc3.6",7.67110941495654e-196,-1.36303727321781,0.096,0.408,2.87375100903102e-191,"19","Tmcc3"
"Fstl5.8",1.06647353044972e-193,-1.43318846461933,0.078,0.384,3.99522313977074e-189,"19","Fstl5"
"Cntnap4.5",1.59076956885134e-192,-1.39969287730516,0.053,0.347,5.95934095883087e-188,"19","Cntnap4"
"Limch1.2",3.1240916328825e-192,-0.987097496199922,0.206,0.545,1.17034720751044e-187,"19","Limch1"
"Ankfn1.2",2.71369679383107e-191,1.22880767653014,0.387,0.179,1.01660509290499e-186,"19","Ankfn1"
"Olfm3.4",2.98213665576938e-191,1.1152648259314,0.664,0.478,1.11716803398432e-186,"19","Olfm3"
"Htr2c.4",6.97626469547523e-187,-1.69535455035742,0.083,0.378,2.61344828021893e-182,"19","Htr2c"
"Unc5d.6",3.46775322615584e-186,0.803448253923021,0.777,0.584,1.2990897135825e-181,"19","Unc5d"
"Adcy8.4",3.70361291156129e-186,-1.18657498504616,0.068,0.367,1.38744746892909e-181,"19","Adcy8"
"Btbd11.3",5.5588576663996e-185,-1.16561010561243,0.035,0.316,2.08245925898662e-180,"19","Btbd11"
"Ptk2b.1",1.73762109973539e-184,1.07593917921804,0.361,0.165,6.50947616382873e-180,"19","Ptk2b"
"Sox5.6",4.36979749961758e-183,-1.55974215002733,0.077,0.367,1.63701353930674e-178,"19","Sox5"
"Xkr4.3",1.58311695542257e-182,-0.72645419641767,0.716,0.876,5.93067273840405e-178,"19","Xkr4"
"Thsd7b.6",1.41676594820739e-181,0.837869562252566,0.624,0.378,5.30748859517454e-177,"19","Thsd7b"
"Dst.2",1.72184267772249e-181,-0.715546478063284,0.517,0.811,6.45036703928398e-177,"19","Dst"
"Gm26871.5",1.51355914498178e-177,0.681014433498841,0.848,0.666,5.67009526893076e-173,"19","Gm26871"
"Apbb2.2",4.45306836419682e-176,-0.987739068064855,0.168,0.481,1.66820847059541e-171,"19","Apbb2"
"Gabbr2.6",8.22813194923802e-174,-1.03294824973236,0.247,0.553,3.08242279082355e-169,"19","Gabbr2"
"Il1rap.9",2.59732977572928e-173,-1.35136016847401,0.04,0.311,9.73011680583704e-169,"19","Il1rap"
"Gnas.4",7.57454696531906e-173,-1.08392059105219,0.14,0.448,2.83757678414782e-168,"19","Gnas"
"Sema6d.2",1.34809499001511e-172,0.915937506284705,0.705,0.52,5.05023345159462e-168,"19","Sema6d"
"March3",1.58394518833038e-172,1.13225200380746,0.406,0.212,5.93377546452327e-168,"19","March3"
"Mpped2.2",1.35284112477939e-171,1.11104808540129,0.43,0.231,5.06801342164854e-167,"19","Mpped2"
"Gm20754.8",2.41927009946532e-170,-1.3895567601859,0.12,0.408,9.06306964661699e-166,"19","Gm20754"
"Hs3st4.5",2.39065236064635e-168,-1.89028615083441,0.148,0.427,8.95586187345337e-164,"19","Hs3st4"
"Cntnap5a.4",3.69838354821296e-168,-1.1164609719487,0.304,0.605,1.38548844483154e-163,"19","Cntnap5a"
"Tmem163.8",4.18071676304811e-168,-1.27662183688779,0.039,0.303,1.56618011377308e-163,"19","Tmem163"
"Hs6st3.6",1.32033188542337e-167,-1.0681992449208,0.376,0.656,4.94622730917302e-163,"19","Hs6st3"
"Rtl4.7",1.59182016240088e-163,-1.1508395348717,0.131,0.419,5.96327669238617e-159,"19","Rtl4"
"5330434G04Rik.2",3.22804403118678e-163,-0.795175765867582,0.279,0.598,1.20928985496319e-158,"19","5330434G04Rik"
"Tnr.4",1.59431704131045e-162,0.611677509309711,0.753,0.606,5.9726305001572e-158,"19","Tnr"
"Schip1.7",4.76307490766666e-161,0.86413290544647,0.706,0.532,1.78434312191008e-156,"19","Schip1"
"Abl2",6.07336648732506e-161,1.13690552219398,0.441,0.257,2.27520455348171e-156,"19","Abl2"
"9330162G02Rik.2",3.28470161106713e-160,-0.670836689489632,0.589,0.814,1.23051491753797e-155,"19","9330162G02Rik"
"Epha3.1",1.11862906985237e-159,1.06713668858904,0.428,0.237,4.19060822148096e-155,"19","Epha3"
"Cpne4.7",6.62371551607056e-159,1.29351344667462,0.509,0.323,2.48137630663035e-154,"19","Cpne4"
"Slc8a1.3",4.95482798184539e-158,-0.759676079125182,0.518,0.782,1.85617765855892e-153,"19","Slc8a1"
"Ptchd4.4",9.82995585090174e-158,-1.07410017610329,0.063,0.328,3.68249806086481e-153,"19","Ptchd4"
"Prkn",1.19528605112997e-157,-0.689106786358788,0.468,0.768,4.4777806047431e-153,"19","Prkn"
"Gm32647.7",1.03796305646351e-156,-1.97708909949504,0.09,0.351,3.88841720212361e-152,"19","Gm32647"
"Tcf7l2.10",9.9393066852721e-156,-1.44424472654674,0.016,0.257,3.72346307043664e-151,"19","Tcf7l2"
"Zfp536.8",3.38749709565523e-154,-1.56214259514296,0.034,0.28,1.26902416197436e-149,"19","Zfp536"
"Etl4.6",6.18513662718409e-154,0.626146770930339,0.754,0.543,2.3170758832757e-149,"19","Etl4"
"Synpr",1.84180360711666e-153,0.97139645521754,0.338,0.156,6.89976467298044e-149,"19","Synpr"
