"Cluster","Sac_Learner_Coef","Sac_Learner_P.Value","Sac_Learner_adj.P.Val","B_Sac_Learner","Sac_Learner_Ratio","Sex_Coef","Sex_P.Value","Sex_adj.P.Val","B_Sex","Sex_Ratio","AveExpr","PropMean_Learner","PropMean_NonLearner","PropMean_Male","PropMean_Female","Direct_Ratio_Learner_NonLearner","Direct_Ratio_Male_Female"
"STR D1-D2 Gaba",-0.00167432037006273,0.0887866248667823,0.252790315858932,-4.21625041296817,0.998840122734359,-0.00152144276369205,0.305859509395086,0.811076686193293,-5.15300566171329,0.998945972115995,-3.60836560796201,0.0363534317574566,0.0584687041098984,0.0360001948332996,0.0553715535914198,0.621758807739715,0.650156849470773
"PF Fzd5 Glut",0.00266249981468234,0.0894035278829285,0.252790315858932,-4.22130446606007,1.00184720823082,0.00194077307839206,0.311619239825107,0.811076686193293,-5.16540640282544,1.00134614663047,-5.10452803848599,0.0205128878018126,0.0068412688591469,0.0175131111563652,0.0141194997586701,2.99840398384379,1.24034926560421
"Chat GABA",-0.0153112145233573,0.0894488809962376,0.252790315858932,-4.22317622168228,0.989443193210395,0.00514789271686616,0.314661259311325,0.811076686193293,-5.1716268764629,1.00357462109581,-5.82275912631023,0.00323712977739056,0.00543672835796942,0.00337240726717655,0.00484466611156295,0.595418708504246,0.696107263022212
"VMH Nr5a1 Glut_2",0.00251501535423331,0.096507659380758,0.261374910822886,-4.2784837750283,1.00174479619047,0.0110893607188879,0.321061231770982,0.811076686193293,-5.18425787422207,1.00771617654878,-3.76542354718184,0.0302466643599993,0.0177560046656711,0.0270662026405808,0.0251385508137566,1.70346116311161,1.07668110389917
"TRS-BAC Sln Glut",-0.00118009453118636,0.100729012494263,0.261895432485085,-4.30799095279249,0.999182355256699,0.00647522399530854,0.322163891384872,0.811076686193293,-5.18640096165265,1.00449837068524,-6.24613435278819,0.00379296132206462,0.00864072026062936,0.00364036380465224,0.00808708963322254,0.438963559478589,0.450145104080123
"PO-CEA-BST Meis2 Gaba",0.0141062817834039,0.125112603257586,0.312781508143964,-4.46480450795099,1.00982568762283,-0.00230682774933658,0.33244234664691,0.811076686193293,-5.2052983012268,0.998402306522802,-3.91754861768026,0.0208474852829463,0.0342562188898756,0.0252443762526033,0.0246932783392924,0.608575200607085,1.02231772977807
"STR D1 Gaba",0.00368446823594553,0.172550030581417,0.403304314512963,-4.68913855812261,1.00255714269596,0.00699937635252785,0.342986895098641,0.811076686193293,-5.22454135121526,1.00486338604186,-3.86538084552866,0.0261817100434815,0.0370814986476647,0.0240273711362979,0.0388554320589401,0.706058573636703,0.618378688978431
"PVpo-VMPO-MPN Hmx2 Gaba",-0.00294990223123553,0.179435890707491,0.403304314512963,-4.71495146801559,0.997957372594047,0.00594018956999324,0.383098407677213,0.811076686193293,-5.29150261806602,1.00412591389534,-5.09040378582117,0.00814910828704949,0.0174342116778601,0.0093995148265055,0.013802683546965,0.467420519930829,0.680991837168674
"Lhx6 Gaba",0.00273691132254987,0.185542132640681,0.403304314512963,-4.73877381886402,1.00189888296587,-0.00470477337569196,0.403167834282945,0.811076686193293,-5.32120919315605,0.996744211211908,-5.79417277068683,0.00265410377126846,0.00526939484601494,0.00418211125893934,0.00228683385410572,0.503682841925512,1.82877791993104
"ZI-PVH-SBPV Pax6-Prox1 Gaba",0.0076821393831113,0.18967425382735,0.403304314512963,-4.75368376433353,1.00533905548223,-0.00115101754817402,0.42052510360764,0.811076686193293,-5.34476975071763,0.999202493609107,-4.26451463984903,0.0165102908201595,0.0114763293165641,0.0148578195464885,0.0150694416899483,1.43863864174146,0.985956869019176
"GPi Tbr1 Cngb3 Gaba-Glut",-0.0095927493285098,0.192345134613874,0.403304314512963,-4.76297440314523,0.993372869780045,0.00237087948077954,0.425666132893405,0.811076686193293,-5.3520408690004,1.00164471949744,-6.0098327301954,0.00346289730791709,0.00220465637418349,0.00353616815333688,0.00229224512077277,1.57071974955716,1.54266580013256
"PVN Mixed Glut",0.00632398020343308,0.202180920798831,0.410679995372625,-4.79564053806385,1.00439307041382,-0.000806475346963069,0.43645456148661,0.811076686193293,-5.36592055860781,0.999441150101869,-7.15667607200816,0.00115962039834841,0.00229425425870868,0.00190829960857143,0.000857349931610267,0.505445459650621,2.22581181640416
"PO-MEA-BST Mixed Gaba",0.0130802238711116,0.251162271415341,0.494713564909004,-4.93904264002911,1.0091077456886,0.000835845960532996,0.436893472185299,0.811076686193293,-5.36653675526112,1.00057953213482,-3.78865856528501,0.023401292351071,0.0337050474729104,0.0296180612663134,0.0216264734271997,0.694296377119161,1.36952801694717
"PH-LHA-MM Foxb1 Glut",-0.0152514217834587,0.272347241975777,0.506837337745459,-4.98987526749234,0.989484201700627,-0.00260733249617641,0.459233431193968,0.811076686193293,-5.39369970354023,0.998194366951815,-5.20845577544659,0.014031884047131,0.0105242153882335,0.0132266476640584,0.0124508874698373,1.33329502765777,1.0623056144472
"Mixed",0.00879170686765926,0.27291241263217,0.506837337745459,-4.99193825616731,1.00611255269679,0.00853163558856706,0.492272919239455,0.811076686193293,-5.43036348401215,1.00593119947384,-2.93513785242732,0.0551386689280128,0.044703461963388,0.0514868309187338,0.0525290598062905,1.23343174121886,0.980159003580112
"AD Serpinb7 Glut",0.0013148339320217,0.305543951429425,0.547790134699039,-5.06151798109248,1.00091178885985,0.00473486640605921,0.510910060405064,0.811076686193293,-5.44929899038408,1.00328735082475,-6.80663078438248,0.00126530928051065,0.00237485857875993,0.0014246631501543,0.00192434391297897,0.532793527929293,0.740337078287038
"PO-MEA Slc17a7 Glut",0.0287539755540847,0.314028546642214,0.547790134699039,-5.07825461637013,1.02013068035534,0.00481861358903167,0.524822770528929,0.811076686193293,-5.46238945479512,1.00334559246677,-5.91096663252632,0.0122530957561436,0.0201368865589049,0.0184181334902615,0.00854785853491483,0.608490082133628,2.15470733576489
"TH-PVT-RE Ntrk1-Nox4 Glut",-0.00570038619950442,0.320246540285592,0.547790134699039,-5.09078247408563,0.996056589123682,0.00853781843895551,0.53189653773845,0.811076686193293,-5.46922836770948,1.00593551052729,-6.00150123689109,0.00243480588078178,0.00310055477052297,0.00237556727196795,0.00308832763692248,0.785280719414963,0.769208306646896
"PO-COAa-PAA-MEA Barhl2 Glut",0.0101556453735137,0.421648107012636,0.664362517488415,-5.24916582348611,1.0070641914694,-0.00379748161226406,0.532340830023181,0.811076686193293,-5.4693665760875,0.997371247564069,-5.26924778985642,0.00602262661643098,0.00839094726491349,0.00799011283344469,0.00471708346181022,0.717752886091231,1.69386717409881
"SI-MA-LPO-LHA Skor1 Glut",0.00147690618149205,0.424291318617355,0.664362517488415,-5.25262171429598,1.00102423752902,0.00350034075493513,0.535463907667464,0.811076686193293,-5.47221331645671,1.00242919705491,-3.9856879843932,0.0192020339837274,0.0251662561669768,0.0192071804515043,0.0241636416901404,0.763007173427898,0.794879376950101
"PO-MEA Glut",0.000900673338501209,0.428408617117648,0.664362517488415,-5.25784702871334,1.00062449410048,-0.000937477977185352,0.540521462518714,0.811076686193293,-5.47701845886631,0.999350400864212,-4.86866516970152,0.00869884770299262,0.0124448562842286,0.013056163754163,0.00455832810207187,0.698991414952435,2.8642439644107
"AHN-PVHd-PVR Mixed Gaba",-0.00483958202217711,0.429280395915591,0.664362517488415,-5.25894378987086,0.996651077558233,-0.00177333380410201,0.55050305452335,0.811076686193293,-5.48571906015132,0.998771573807431,-3.24192902720839,0.0385339700806546,0.0460802484136269,0.0379366442290934,0.0458180784440669,0.83623616207024,0.827984182606109
"SCH Six6 Cdc14a Gaba",0.0156007968971727,0.447792741319769,0.67689600432058,-5.2810882255638,1.0108723271994,0.000659449310181255,0.551052896772799,0.811076686193293,-5.48622765134703,1.00045719991411,-5.90479705471132,0.00489532357657394,0.00700966095706511,0.00511555533241442,0.0062902184672491,0.698368096054616,0.813255590254818
"PV-PT Ntrk1-Sp9 Glut",0.00256573143971714,0.499917304038476,0.731403329268855,-5.33771654594767,1.00178001185717,0.00172388125514337,0.554629460975625,0.811076686193293,-5.48904015053012,1.00119561761316,-4.53647240000736,0.0104107756754415,0.0115946955719438,0.0104783483534137,0.0112847544592396,0.897891247842066,0.9285402169149
"TH Prkcd Grin2c Glut_6",0.000921873070406425,0.526781059871226,0.731403329268855,-5.36305686229136,1.00063919791957,0.00582434028379776,0.581645888046549,0.811076686193293,-5.51118413050679,1.00404528521317,-3.98316680542908,0.0226811732712092,0.0166923332012144,0.0198859225941032,0.0223492243413901,1.35877788909456,0.889781331572882
"PVH-SO-PVa Avp Glut",-0.00602300401816335,0.54769400293841,0.731403329268855,-5.38125557542088,0.995833874227116,0.000347181128703516,0.590758954047263,0.811076686193293,-5.51811745812734,1.00024067657847,-5.28148129017465,0.00578774641232989,0.00560140188383023,0.00538253455079555,0.00630781240780406,1.03326748059938,0.853312401005498
"TH Prkcd Grin2c Glut_2",0.00168287576363468,0.556046262878998,0.731403329268855,-5.38794139622288,1.00116716119389,0.00039408684353342,0.605954541278364,0.811076686193293,-5.52922636260284,1.00027319749613,-3.86969351030907,0.0345339974424737,0.0226150136527456,0.0344670665146115,0.0247130624974706,1.52703854053526,1.39469021769921
"AHN Onecut3 Gaba",-0.000753646280059055,0.565834620460263,0.731403329268855,-5.39603211193119,0.999477748626585,-0.00236011968881562,0.620055209394299,0.811076686193293,-5.53901120213489,0.998365427063809,-4.08066101375625,0.0192119267372694,0.0164776757976288,0.017780463728084,0.0193191559695446,1.16593668750505,0.920354064955721
"TH Prkcd Grin2c Glut_1",0.00163212418422014,0.568855334200488,0.731403329268855,-5.39839547428434,1.00113194244042,-0.000422850365822524,0.638140559333396,0.811076686193293,-5.55071023081948,0.999706945410019,-6.09113526899413,0.00284842845948212,0.00220639938669786,0.00274628638902063,0.00248364101626439,1.29098497609045,1.10575013499788
"AV Col27a1 Glut",-0.00234909965839963,0.573487430147676,0.731403329268855,-5.40196670570882,0.998373053110257,-0.00107826228261596,0.639041747262904,0.811076686193293,-5.55143469507895,0.999252884768572,-5.14298766784671,0.00646762553189636,0.00956490124982894,0.00689285475839431,0.00833997325267694,0.676183199697125,0.82648403652636
"Mixed Meis2 Gaba",-0.00158743758788961,0.573870304503255,0.731403329268855,-5.40229187706635,0.9989002772504,0.000438496171436685,0.661982785121527,0.811076686193293,-5.56521233743061,1.00030398858008,-4.02768244398782,0.0193530333289924,0.0163402490352024,0.0172282423310069,0.0203836980808099,1.18437811365662,0.845197091455467
"LH-MH Glut",0.000524113776459408,0.608871891820567,0.761089864775709,-5.42745233287138,1.00036335398352,-0.00283011983871771,0.663141803876563,0.811076686193293,-5.56601732196022,0.99804023326861,-6.63299746946594,0.0066905034622869,0.00125016370113855,0.00368188897668169,0.00717124447067197,5.35170190607337,0.513423993804619
"TH Prkcd Grin2c Glut_3",-0.00249050470940313,0.636957358589959,0.774034175558717,-5.44580413972652,0.998275202857693,-0.00385058707209876,0.683897072966623,0.811076686193293,-5.57756222569783,0.997334535104122,-3.19749817323932,0.0524922856602075,0.0394125529356568,0.0502697331234454,0.0452967626176854,1.33186717810196,1.10978644429256
"TH Prkcd Grin2c Glut_5",-0.000539999627272258,0.643043776618011,0.774034175558717,-5.44944566308852,0.999625770822066,0.00102377489830895,0.686051082096399,0.811076686193293,-5.57870842110361,1.00070987852887,-6.4089923745153,0.00220697421260992,0.00177640070194784,0.00188559395203678,0.00238379672134675,1.24238535269095,0.791004507704621
"RE-Xi Nox4 Glut",0.00571052792739081,0.720509822003076,0.817741536746093,-5.4899755222862,1.00396608049608,0.000434551798956926,0.686295657548171,0.811076686193293,-5.57883795727994,1.00030125372205,-4.13932847748709,0.0169051448729307,0.0161655847373432,0.0177842367168858,0.0148236916866826,1.04574904945313,1.19971712126629
"TH Prkcd Grin2c Glut_4",-0.00393909314997025,0.724964400276998,0.817741536746093,-5.49194266284953,0.997273352762744,-0.00215788697116841,0.703847129067526,0.816965417667664,-5.58781451412115,0.99850538478147,-4.65225597207833,0.0104926397020094,0.0105582542660278,0.010138553013385,0.0111374629863989,0.993785472260369,0.910310815467241
"TH Sema5b-Ntrk Glut",-0.00027700325468336,0.73603593764523,0.817741536746093,-5.49667268244305,0.999808014406603,-0.00274036783615001,0.723792592643661,0.825377517926982,-5.59718176180228,0.998102324627783,-3.22262159295206,0.0428640359155049,0.0388448738368862,0.0440331234859978,0.0375662548991679,1.10346698757462,1.17214568245325
"SNc-VTA-RAmb Foxa1 Dopa",0.00213914526843811,0.736648341741001,0.817741536746093,-5.49691661379793,1.00148384231781,-0.000405733572985967,0.819256755822152,0.918132571179998,-5.63229324411007,0.999718806460143,-8.09986162226092,0.000295604950784311,0.000275401708671572,0.00023406386319587,0.000381337395004431,1.07335917489471,0.613797299352584
"SCsg Gabrr2 Gaba",-0.000322938872089069,0.742257702584915,0.817741536746093,-5.49922171061674,0.999776180882555,0.00148059086141236,0.845834641273069,0.931851723436432,-5.63926589653433,1.00102679417371,-7.62747468880366,0.000582134518462167,0.000393504641994248,0.000629142820544967,0.000346595784600901,1.47935870721108,1.81520620993534
"RT-ZI Gnb3 Gaba_1",-0.0022750006202747,0.7732786785138,0.837718568389951,-5.51096519561097,0.998424332403999,-0.000151561262416702,0.873506947066575,0.946299192655456,-5.64527679828303,0.999894951256279,-5.74526528324257,0.00354434390399067,0.00326559919454961,0.00342248906879094,0.00351514803812267,1.08535790610994,0.973640094719534
"TH Prkcd Grin2c Glut_7",-0.000271270620785069,0.81809148031202,0.870267283845382,-5.52500491418375,0.999811987210654,-0.00113321163406926,0.91231290212593,0.956311616840406,-5.65165538271228,0.999214825961451,-3.26716906518575,0.0381703149471453,0.0391342105386856,0.0375576127315592,0.0399947316327391,0.975369489296649,0.939064001640033
"PVH-SO-PVa Agtr1a Glut",0.00168428973230481,0.836209779129555,0.870267283845382,-5.52971526040346,1.00116814242669,-0.000957574475933246,0.920542535185902,0.956311616840406,-5.65269870310403,0.999336480178529,-6.2038674909289,0.00279933697078475,0.00236995052870153,0.00278086066485627,0.00247230877892953,1.18117949589373,1.12480313484966
"ADP-MPO Trp73 Glut",0.000340081326866007,0.849546121211719,0.870267283845382,-5.53289425341371,1.00023575419853,0.00169488192921417,0.926886644014547,0.956311616840406,-5.65344360282193,1.00117549298154,-6.46733352410631,0.00181549042547697,0.00204658861482806,0.00150189381622446,0.00253073326535706,0.887081268958143,0.59346191745441
"RT-ZI Gnb3 Gaba_2",5.2286229329346e-05,0.856878556401607,0.870267283845382,-5.53451220434673,1.00003624270919,0.000278833864158351,0.962221994959909,0.970462991371165,-5.65642302412785,1.0001932915852,-3.28546623147693,0.0390160648076587,0.0361917838674502,0.0371252068453814,0.0398139272946139,1.07803652206126,0.932467841483293
"Trh Glut",1.83759883206029e-05,0.971420412920236,0.971420412920236,-5.54909446559288,1.00001273734561,-2.93624911485459e-05,0.970462991371165,0.970462991371165,-5.65684547803905,0.999979647679157,-3.677996384623,0.0264592576277577,0.0274008242187469,0.0251763823825457,0.0293820218622688,0.965637289467189,0.856863509957299
